Domain	Phylum	Class	Order	Family	Genus	Species
meta_mOTU_v2_6121	Bacteria	Chloroflexi	unknown Chloroflexi	unknown Chloroflexi	unknown Chloroflexi	unknown Chloroflexi	unknown Chloroflexi
meta_mOTU_v2_6109	Bacteria	Chloroflexi	unknown Chloroflexi	unknown Chloroflexi	unknown Chloroflexi	unknown Chloroflexi	unknown Chloroflexi
meta_mOTU_v2_6920	Bacteria	Chloroflexi	unknown Chloroflexi	unknown Chloroflexi	unknown Chloroflexi	unknown Chloroflexi	unknown Chloroflexi
meta_mOTU_v2_7691	Bacteria	Chloroflexi	unknown Chloroflexi	unknown Chloroflexi	unknown Chloroflexi	unknown Chloroflexi	unknown Chloroflexi
meta_mOTU_v2_5866	Bacteria	unknown Bacteria	unknown Bacteria	unknown Bacteria	unknown Bacteria	unknown Bacteria	unknown Bacteria
meta_mOTU_v2_7365	Bacteria	Chloroflexi	unknown Chloroflexi	unknown Chloroflexi	unknown Chloroflexi	unknown Chloroflexi	unknown Chloroflexi
meta_mOTU_v2_6990	Bacteria	Chloroflexi	unknown Chloroflexi	unknown Chloroflexi	unknown Chloroflexi	unknown Chloroflexi	unknown Chloroflexi
meta_mOTU_v2_7236	Bacteria	Chloroflexi	unknown Chloroflexi	unknown Chloroflexi	unknown Chloroflexi	unknown Chloroflexi	unknown Chloroflexi
meta_mOTU_v2_7644	Bacteria	Chloroflexi	unknown Chloroflexi	unknown Chloroflexi	unknown Chloroflexi	unknown Chloroflexi	unknown Chloroflexi
meta_mOTU_v2_7284	Bacteria	Chloroflexi	unknown Chloroflexi	unknown Chloroflexi	unknown Chloroflexi	unknown Chloroflexi	unknown Chloroflexi
meta_mOTU_v2_6800	Bacteria	Chloroflexi	unknown Chloroflexi	unknown Chloroflexi	unknown Chloroflexi	unknown Chloroflexi	unknown Chloroflexi
meta_mOTU_v2_7536	Bacteria	Chloroflexi	unknown Chloroflexi	unknown Chloroflexi	unknown Chloroflexi	unknown Chloroflexi	unknown Chloroflexi
meta_mOTU_v2_6426	Bacteria	Chloroflexi	unknown Chloroflexi	unknown Chloroflexi	unknown Chloroflexi	unknown Chloroflexi	unknown Chloroflexi
meta_mOTU_v2_5391	Bacteria	Chloroflexi	unknown Chloroflexi	unknown Chloroflexi	unknown Chloroflexi	unknown Chloroflexi	unknown Chloroflexi
meta_mOTU_v2_6696	Bacteria	Chloroflexi	unknown Chloroflexi	unknown Chloroflexi	unknown Chloroflexi	unknown Chloroflexi	unknown Chloroflexi
meta_mOTU_v2_7139	Bacteria	unknown Bacteria	unknown Bacteria	unknown Bacteria	unknown Bacteria	unknown Bacteria	unknown Bacteria
meta_mOTU_v2_5515	Bacteria	Chloroflexi	unknown Chloroflexi	unknown Chloroflexi	unknown Chloroflexi	unknown Chloroflexi	unknown Chloroflexi
meta_mOTU_v2_5788	Bacteria	Chloroflexi	unknown Chloroflexi	unknown Chloroflexi	unknown Chloroflexi	unknown Chloroflexi	unknown Chloroflexi
meta_mOTU_v2_5434	Bacteria	Chloroflexi	unknown Chloroflexi	unknown Chloroflexi	unknown Chloroflexi	unknown Chloroflexi	unknown Chloroflexi
meta_mOTU_v2_7518	Bacteria	Chloroflexi	unknown Chloroflexi	unknown Chloroflexi	unknown Chloroflexi	unknown Chloroflexi	unknown Chloroflexi
meta_mOTU_v2_7793	Bacteria	Chloroflexi	unknown Chloroflexi	unknown Chloroflexi	unknown Chloroflexi	unknown Chloroflexi	unknown Chloroflexi
meta_mOTU_v2_6496	Bacteria	Chloroflexi	unknown Chloroflexi	unknown Chloroflexi	unknown Chloroflexi	unknown Chloroflexi	unknown Chloroflexi
ref_mOTU_v2_4481	Bacteria	Chloroflexi	Dehalococcoidia	Dehalococcoidia order incertae sedis	Dehalococcoidia fam. incertae sedis	Dehalogenimonas	Dehalogenimonas lykanthroporepellens
ref_mOTU_v2_1121	Bacteria	Chloroflexi	Dehalococcoidia	Dehalococcoidales	Dehalococcoidaceae	Dehalococcoides	Dehalococcoides mccartyi
ref_mOTU_v2_3816	Bacteria	Chloroflexi	Dehalococcoidia	Dehalococcoidales	Dehalococcoidaceae	Dehalococcoides	Dehalococcoides mccartyi
ref_mOTU_v2_0748	Bacteria	Chloroflexi	Dehalococcoidia	Dehalococcoidales	Dehalococcoidaceae	Dehalococcoides	Dehalococcoides mccartyi
meta_mOTU_v2_7569	Bacteria	Chloroflexi	unknown Chloroflexi	unknown Chloroflexi	unknown Chloroflexi	unknown Chloroflexi	unknown Chloroflexi
meta_mOTU_v2_7379	Bacteria	Chloroflexi	unknown Chloroflexi	unknown Chloroflexi	unknown Chloroflexi	unknown Chloroflexi	unknown Chloroflexi
meta_mOTU_v2_7103	Bacteria	Chloroflexi	unknown Chloroflexi	unknown Chloroflexi	unknown Chloroflexi	unknown Chloroflexi	unknown Chloroflexi
meta_mOTU_v2_7388	Bacteria	Chloroflexi	unknown Chloroflexi	unknown Chloroflexi	unknown Chloroflexi	unknown Chloroflexi	unknown Chloroflexi
meta_mOTU_v2_6537	Bacteria	unknown Bacteria	unknown Bacteria	unknown Bacteria	unknown Bacteria	unknown Bacteria	unknown Bacteria
meta_mOTU_v2_7636	Bacteria	unknown Bacteria	unknown Bacteria	unknown Bacteria	unknown Bacteria	unknown Bacteria	unknown Bacteria
meta_mOTU_v2_5312	Bacteria	Chloroflexi	unknown Chloroflexi	unknown Chloroflexi	unknown Chloroflexi	unknown Chloroflexi	unknown Chloroflexi
meta_mOTU_v2_6066	Bacteria	Proteobacteria	Deltaproteobacteria	unknown Deltaproteobacteria	unknown Deltaproteobacteria	unknown Deltaproteobacteria	unknown Deltaproteobacteria
meta_mOTU_v2_6954	Bacteria	Firmicutes	unknown Firmicutes	unknown Firmicutes	unknown Firmicutes	unknown Firmicutes	unknown Firmicutes
ref_mOTU_v2_1771	Bacteria	candidatus Poribacteria	candidatus Poribacteria class incertae sedis	candidatus Poribacteria order incertae sedis	candidatus Poribacteria fam. incertae sedis	candidatus Poribacteria gen. incertae sedis	Poribacteria bacterium WGA-3G
meta_mOTU_v2_7711	Bacteria	Planctomycetes	Planctomycetia	Planctomycetales	Planctomycetaceae	unknown Planctomycetaceae	unknown Planctomycetaceae
meta_mOTU_v2_5384	Bacteria	Planctomycetes	Planctomycetia	Planctomycetales	Planctomycetaceae	unknown Planctomycetaceae	unknown Planctomycetaceae
meta_mOTU_v2_7564	Bacteria	Planctomycetes	Planctomycetia	Planctomycetales	Planctomycetaceae	unknown Planctomycetaceae	unknown Planctomycetaceae
meta_mOTU_v2_6886	Bacteria	Planctomycetes	Planctomycetia	Planctomycetales	Planctomycetaceae	unknown Planctomycetaceae	unknown Planctomycetaceae
meta_mOTU_v2_7498	Bacteria	Planctomycetes	Planctomycetia	Planctomycetales	Planctomycetaceae	unknown Planctomycetaceae	unknown Planctomycetaceae
ref_mOTU_v2_4444	Bacteria	Planctomycetes	Planctomycetia	Planctomycetales	Planctomycetaceae	Pirellula	Pirellula staleyi
ref_mOTU_v2_0948	Bacteria	Planctomycetes	Planctomycetia	Planctomycetales	Planctomycetaceae	Rhodopirellula	Rhodopirellula europaea
ref_mOTU_v2_1303	Bacteria	Planctomycetes	Planctomycetia	Planctomycetales	Planctomycetaceae	Rhodopirellula	Rhodopirellula baltica
ref_mOTU_v2_4606	Bacteria	Planctomycetes	Planctomycetia	Planctomycetales	Planctomycetaceae	Rhodopirellula	Rhodopirellula sp. SWK7
ref_mOTU_v2_3944	Bacteria	Planctomycetes	Planctomycetia	Planctomycetales	Planctomycetaceae	Blastopirellula	Blastopirellula marina
meta_mOTU_v2_5775	Bacteria	Planctomycetes	Planctomycetia	Planctomycetales	Planctomycetaceae	unknown Planctomycetaceae	unknown Planctomycetaceae
meta_mOTU_v2_6463	Bacteria	Planctomycetes	Planctomycetia	Planctomycetales	Planctomycetaceae	unknown Planctomycetaceae	unknown Planctomycetaceae
meta_mOTU_v2_5580	Bacteria	Planctomycetes	Planctomycetia	Planctomycetales	Planctomycetaceae	unknown Planctomycetaceae	unknown Planctomycetaceae
meta_mOTU_v2_6388	Bacteria	Planctomycetes	Planctomycetia	Planctomycetales	Planctomycetaceae	unknown Planctomycetaceae	unknown Planctomycetaceae
meta_mOTU_v2_5374	Bacteria	Planctomycetes	Planctomycetia	Planctomycetales	Planctomycetaceae	unknown Planctomycetaceae	unknown Planctomycetaceae
ref_mOTU_v2_4046	Bacteria	Planctomycetes	Planctomycetia	Planctomycetales	Planctomycetaceae	Gimesia	Gimesia maris
ref_mOTU_v2_4926	Bacteria	Planctomycetes	Planctomycetia	Planctomycetales	Planctomycetaceae	Rubinisphaera	Rubinisphaera brasiliensis
ref_mOTU_v2_2146	Bacteria	Planctomycetes	Planctomycetia	Planctomycetales	Planctomycetaceae	Schlesneria	Schlesneria paludicola
ref_mOTU_v2_4407	Bacteria	Planctomycetes	Planctomycetia	Planctomycetales	Planctomycetaceae	Planctopirus	Planctopirus limnophila
ref_mOTU_v2_4550	Bacteria	Planctomycetes	Planctomycetia	Planctomycetales	Isosphaeraceae	Isosphaera	Isosphaera pallida
ref_mOTU_v2_5096	Bacteria	Planctomycetes	Planctomycetia	Planctomycetales	Isosphaeraceae	Singulisphaera	Singulisphaera acidiphila
ref_mOTU_v2_2219	Bacteria	Planctomycetes	Planctomycetia	Planctomycetales	Planctomycetaceae	Zavarzinella	Zavarzinella formosa
ref_mOTU_v2_2548	Bacteria	Planctomycetes	Planctomycetia	Planctomycetales	Planctomycetaceae	Gemmata	Gemmata sp. IIL30
meta_mOTU_v2_7503	Bacteria	unknown Bacteria	unknown Bacteria	unknown Bacteria	unknown Bacteria	unknown Bacteria	unknown Bacteria
meta_mOTU_v2_6092	Bacteria	unknown Bacteria	unknown Bacteria	unknown Bacteria	unknown Bacteria	unknown Bacteria	unknown Bacteria
meta_mOTU_v2_6265	Bacteria	unknown Bacteria	unknown Bacteria	unknown Bacteria	unknown Bacteria	unknown Bacteria	unknown Bacteria
meta_mOTU_v2_5334	Bacteria	unknown Bacteria	unknown Bacteria	unknown Bacteria	unknown Bacteria	unknown Bacteria	unknown Bacteria
ref_mOTU_v2_1454	Bacteria	Fibrobacteres	Fibrobacteria	Fibrobacterales	Fibrobacteraceae	Fibrobacter	Fibrobacter succinogenes
ref_mOTU_v2_3027	Bacteria	Fibrobacteres	Chitinivibrionia	Chitinivibrionales	Chitinivibrionaceae	Chitinivibrio	Chitinivibrio alkaliphilus
ref_mOTU_v2_4280	Bacteria	Verrucomicrobia	Opitutae	Opitutales	Opitutaceae	Opitutus	Opitutus terrae
ref_mOTU_v2_3878	Bacteria	Verrucomicrobia	Opitutae	Opitutales	Opitutaceae	Diplosphaera	Diplosphaera colitermitum
ref_mOTU_v2_1324	Bacteria	Verrucomicrobia	Opitutae	Opitutales	Opitutaceae	Opitutaceae gen. incertae sedis	Opitutaceae sp. [C]
meta_mOTU_v2_6474	Bacteria	Verrucomicrobia	Verrucomicrobiae	unknown Verrucomicrobiae	unknown Verrucomicrobiae	unknown Verrucomicrobiae	Verrucomicrobiae bacterium DG1235
ref_mOTU_v2_4109	Bacteria	Verrucomicrobia	Verrucomicrobiae	Verrucomicrobiales	Verrucomicrobiales fam. incertae sedis	Verrucomicrobiales gen. incertae sedis	Verrucomicrobiae bacterium DG1235
meta_mOTU_v2_6770	Bacteria	Verrucomicrobia	Opitutae	Puniceicoccales	Puniceicoccaceae	Coraliomargarita	Coraliomargarita sp. CAG:312
meta_mOTU_v2_7055	Bacteria	Verrucomicrobia	Opitutae	Puniceicoccales	Puniceicoccaceae	Coraliomargarita	Coraliomargarita sp. CAG:312
meta_mOTU_v2_5659	Bacteria	Verrucomicrobia	Opitutae	Puniceicoccales	Puniceicoccaceae	Coraliomargarita	Coraliomargarita sp. CAG:312
meta_mOTU_v2_6090	Bacteria	Verrucomicrobia	unknown Verrucomicrobia	unknown Verrucomicrobia	unknown Verrucomicrobia	unknown Verrucomicrobia	Verrucomicrobia bacterium CAG:312_58_20
meta_mOTU_v2_6061	Bacteria	Verrucomicrobia	unknown Verrucomicrobia	unknown Verrucomicrobia	unknown Verrucomicrobia	unknown Verrucomicrobia	unknown Verrucomicrobia
meta_mOTU_v2_7648	Bacteria	Verrucomicrobia	unknown Verrucomicrobia	unknown Verrucomicrobia	unknown Verrucomicrobia	unknown Verrucomicrobia	Verrucomicrobia bacterium CAG:312_58_20
meta_mOTU_v2_7661	Bacteria	Verrucomicrobia	unknown Verrucomicrobia	unknown Verrucomicrobia	unknown Verrucomicrobia	unknown Verrucomicrobia	unknown Verrucomicrobia
meta_mOTU_v2_6010	Bacteria	Verrucomicrobia	unknown Verrucomicrobia	unknown Verrucomicrobia	unknown Verrucomicrobia	unknown Verrucomicrobia	unknown Verrucomicrobia
meta_mOTU_v2_5913	Bacteria	Verrucomicrobia	unknown Verrucomicrobia	unknown Verrucomicrobia	unknown Verrucomicrobia	unknown Verrucomicrobia	unknown Verrucomicrobia
meta_mOTU_v2_7611	Bacteria	Verrucomicrobia	unknown Verrucomicrobia	unknown Verrucomicrobia	unknown Verrucomicrobia	unknown Verrucomicrobia	unknown Verrucomicrobia
meta_mOTU_v2_6798	Bacteria	Verrucomicrobia	unknown Verrucomicrobia	unknown Verrucomicrobia	unknown Verrucomicrobia	unknown Verrucomicrobia	unknown Verrucomicrobia
meta_mOTU_v2_6972	Bacteria	Verrucomicrobia	unknown Verrucomicrobia	unknown Verrucomicrobia	unknown Verrucomicrobia	unknown Verrucomicrobia	unknown Verrucomicrobia
meta_mOTU_v2_7692	Bacteria	Verrucomicrobia	unknown Verrucomicrobia	unknown Verrucomicrobia	unknown Verrucomicrobia	unknown Verrucomicrobia	unknown Verrucomicrobia
meta_mOTU_v2_6455	Bacteria	Verrucomicrobia	Opitutae	unknown Opitutae	unknown Opitutae	unknown Opitutae	unknown Opitutae
meta_mOTU_v2_5544	Bacteria	Verrucomicrobia	unknown Verrucomicrobia	unknown Verrucomicrobia	unknown Verrucomicrobia	unknown Verrucomicrobia	unknown Verrucomicrobia
ref_mOTU_v2_4567	Bacteria	Verrucomicrobia	Opitutae	Puniceicoccales	Puniceicoccaceae	Coraliomargarita	Coraliomargarita akajimensis
meta_mOTU_v2_7797	Bacteria	Verrucomicrobia	Opitutae	unknown Opitutae	unknown Opitutae	unknown Opitutae	unknown Opitutae
meta_mOTU_v2_5427	Bacteria	Verrucomicrobia	Opitutae	unknown Opitutae	unknown Opitutae	unknown Opitutae	unknown Opitutae
meta_mOTU_v2_6335	Bacteria	Verrucomicrobia	unknown Verrucomicrobia	unknown Verrucomicrobia	unknown Verrucomicrobia	unknown Verrucomicrobia	unknown Verrucomicrobia
meta_mOTU_v2_6953	Bacteria	Verrucomicrobia	Opitutae	unknown Opitutae	unknown Opitutae	unknown Opitutae	unknown Opitutae
meta_mOTU_v2_5900	Bacteria	Verrucomicrobia	Opitutae	unknown Opitutae	unknown Opitutae	unknown Opitutae	unknown Opitutae
meta_mOTU_v2_7787	Bacteria	Verrucomicrobia	Opitutae	unknown Opitutae	unknown Opitutae	unknown Opitutae	unknown Opitutae
meta_mOTU_v2_6744	Bacteria	unknown Bacteria	unknown Bacteria	unknown Bacteria	unknown Bacteria	unknown Bacteria	unknown Bacteria
meta_mOTU_v2_5825	Bacteria	Verrucomicrobia	unknown Verrucomicrobia	unknown Verrucomicrobia	unknown Verrucomicrobia	unknown Verrucomicrobia	unknown Verrucomicrobia
meta_mOTU_v2_6965	Bacteria	Verrucomicrobia	Verrucomicrobiae	Verrucomicrobiales	unknown Verrucomicrobiales	unknown Verrucomicrobiales	unknown Verrucomicrobiales
meta_mOTU_v2_5895	Bacteria	Verrucomicrobia	Verrucomicrobiae	Verrucomicrobiales	unknown Verrucomicrobiales	unknown Verrucomicrobiales	unknown Verrucomicrobiales
meta_mOTU_v2_6729	Bacteria	unknown Bacteria	unknown Bacteria	unknown Bacteria	unknown Bacteria	unknown Bacteria	unknown Bacteria
meta_mOTU_v2_6033	Bacteria	Verrucomicrobia	unknown Verrucomicrobia	unknown Verrucomicrobia	unknown Verrucomicrobia	unknown Verrucomicrobia	unknown Verrucomicrobia
meta_mOTU_v2_6447	Bacteria	Verrucomicrobia	unknown Verrucomicrobia	unknown Verrucomicrobia	unknown Verrucomicrobia	unknown Verrucomicrobia	unknown Verrucomicrobia
meta_mOTU_v2_5564	Bacteria	Verrucomicrobia	unknown Verrucomicrobia	unknown Verrucomicrobia	unknown Verrucomicrobia	unknown Verrucomicrobia	unknown Verrucomicrobia
meta_mOTU_v2_7071	Bacteria	Verrucomicrobia	unknown Verrucomicrobia	unknown Verrucomicrobia	unknown Verrucomicrobia	unknown Verrucomicrobia	unknown Verrucomicrobia
meta_mOTU_v2_7248	Bacteria	unknown Bacteria	unknown Bacteria	unknown Bacteria	unknown Bacteria	unknown Bacteria	unknown Bacteria
meta_mOTU_v2_5921	Bacteria	Verrucomicrobia	unknown Verrucomicrobia	unknown Verrucomicrobia	unknown Verrucomicrobia	unknown Verrucomicrobia	unknown Verrucomicrobia
meta_mOTU_v2_6971	Bacteria	Verrucomicrobia	unknown Verrucomicrobia	unknown Verrucomicrobia	unknown Verrucomicrobia	unknown Verrucomicrobia	unknown Verrucomicrobia
meta_mOTU_v2_5526	Bacteria	Verrucomicrobia	Verrucomicrobiae	Verrucomicrobiales	unknown Verrucomicrobiales	unknown Verrucomicrobiales	unknown Verrucomicrobiales
meta_mOTU_v2_7113	Bacteria	Verrucomicrobia	Verrucomicrobiae	Verrucomicrobiales	unknown Verrucomicrobiales	unknown Verrucomicrobiales	unknown Verrucomicrobiales
meta_mOTU_v2_6781	Bacteria	Verrucomicrobia	Verrucomicrobiae	Verrucomicrobiales	unknown Verrucomicrobiales	unknown Verrucomicrobiales	unknown Verrucomicrobiales
ref_mOTU_v2_2130	Bacteria	Verrucomicrobia	Verrucomicrobiae	Verrucomicrobiales	Rubritaleaceae	Rubritalea	Rubritalea marina
ref_mOTU_v2_3241	Bacteria	Verrucomicrobia	Verrucomicrobiae	Verrucomicrobiales	Verrucomicrobiaceae	Haloferula	Haloferula sp. BvORR071
meta_mOTU_v2_6276	Bacteria	Verrucomicrobia	Verrucomicrobiae	Verrucomicrobiales	Akkermansiaceae	Akkermansia	unknown Akkermansia
ref_mOTU_v2_1301	Bacteria	Verrucomicrobia	Verrucomicrobiae	Verrucomicrobiales	Akkermansiaceae	Akkermansia	Akkermansia muciniphila
meta_mOTU_v2_7059	Bacteria	Verrucomicrobia	Verrucomicrobiae	Verrucomicrobiales	Akkermansiaceae	Akkermansia	unknown Akkermansia
meta_mOTU_v2_5438	Bacteria	Verrucomicrobia	Verrucomicrobiae	Verrucomicrobiales	Akkermansiaceae	Akkermansia	unknown Akkermansia
ref_mOTU_v2_3813	Bacteria	Verrucomicrobia	Verrucomicrobiae	Verrucomicrobiales	Verrucomicrobiaceae	Verrucomicrobium	Verrucomicrobium spinosum
ref_mOTU_v2_3242	Bacteria	Verrucomicrobia	Verrucomicrobiae	Verrucomicrobiales	Verrucomicrobiaceae	Verrucomicrobium	Verrucomicrobium sp. BvORR034
ref_mOTU_v2_3270	Bacteria	Verrucomicrobia	Verrucomicrobiae	Verrucomicrobiales	Verrucomicrobiaceae	Verrucomicrobium	Verrucomicrobium sp. BvORR106
ref_mOTU_v2_4359	Bacteria	Verrucomicrobia	Spartobacteria	Chthoniobacterales	Chthoniobacteraceae	Chthoniobacter	Chthoniobacter flavus
meta_mOTU_v2_7514	Bacteria	Verrucomicrobia	unknown Verrucomicrobia	unknown Verrucomicrobia	unknown Verrucomicrobia	unknown Verrucomicrobia	unknown Verrucomicrobia
meta_mOTU_v2_7176	Bacteria	Verrucomicrobia	unknown Verrucomicrobia	unknown Verrucomicrobia	unknown Verrucomicrobia	unknown Verrucomicrobia	unknown Verrucomicrobia
meta_mOTU_v2_6279	Bacteria	Verrucomicrobia	unknown Verrucomicrobia	unknown Verrucomicrobia	unknown Verrucomicrobia	unknown Verrucomicrobia	unknown Verrucomicrobia
meta_mOTU_v2_6173	Bacteria	Verrucomicrobia	unknown Verrucomicrobia	unknown Verrucomicrobia	unknown Verrucomicrobia	unknown Verrucomicrobia	unknown Verrucomicrobia
meta_mOTU_v2_6041	Bacteria	Verrucomicrobia	unknown Verrucomicrobia	unknown Verrucomicrobia	unknown Verrucomicrobia	unknown Verrucomicrobia	unknown Verrucomicrobia
meta_mOTU_v2_5636	Bacteria	Verrucomicrobia	unknown Verrucomicrobia	unknown Verrucomicrobia	unknown Verrucomicrobia	unknown Verrucomicrobia	unknown Verrucomicrobia
meta_mOTU_v2_5769	Bacteria	Verrucomicrobia	unknown Verrucomicrobia	unknown Verrucomicrobia	unknown Verrucomicrobia	unknown Verrucomicrobia	unknown Verrucomicrobia
meta_mOTU_v2_7114	Bacteria	Verrucomicrobia	unknown Verrucomicrobia	unknown Verrucomicrobia	unknown Verrucomicrobia	unknown Verrucomicrobia	unknown Verrucomicrobia
ref_mOTU_v2_3996	Bacteria	Verrucomicrobia	Verrucomicrobiae	Verrucomicrobiales	Verrucomicrobia subdivision 3	Pedosphaera	Pedosphaera parvula
ref_mOTU_v2_1572	Bacteria	Verrucomicrobia	Verrucomicrobia class incertae sedis	Verrucomicrobia order incertae sedis	Verrucomicrobia fam. incertae sedis	Verrucomicrobia gen. incertae sedis	Verrucomicrobia bacterium SCGC AAA164-E04
meta_mOTU_v2_7136	Bacteria	unknown Bacteria	unknown Bacteria	unknown Bacteria	unknown Bacteria	unknown Bacteria	unknown Bacteria
meta_mOTU_v2_6056	Bacteria	Verrucomicrobia	unknown Verrucomicrobia	unknown Verrucomicrobia	unknown Verrucomicrobia	unknown Verrucomicrobia	unknown Verrucomicrobia
ref_mOTU_v2_4331	Bacteria	Verrucomicrobia	Verrucomicrobia class incertae sedis	Verrucomicrobia order incertae sedis	Verrucomicrobia fam. incertae sedis	Verrucomicrobia gen. incertae sedis	Verrucomicrobia bacterium LP2A
ref_mOTU_v2_2272	Bacteria	Verrucomicrobia	Verrucomicrobiae	Verrucomicrobiales	Verrucomicrobiaceae	Verrucomicrobium	Verrucomicrobium sp. 3C
ref_mOTU_v2_4339	Bacteria	Verrucomicrobia	Verrucomicrobia class incertae sedis	Methylacidiphilales	Methylacidiphilaceae	Methylacidiphilum	Methylacidiphilum infernorum
ref_mOTU_v2_2334	Bacteria	Verrucomicrobia	Verrucomicrobia class incertae sedis	Methylacidiphilales	Methylacidiphilaceae	Methylacidiphilum	Methylacidiphilum fumariolicum
meta_mOTU_v2_6651	Bacteria	Lentisphaerae	unknown Lentisphaerae	unknown Lentisphaerae	unknown Lentisphaerae	unknown Lentisphaerae	unknown Lentisphaerae
meta_mOTU_v2_6979	Bacteria	Lentisphaerae	unknown Lentisphaerae	unknown Lentisphaerae	unknown Lentisphaerae	unknown Lentisphaerae	unknown Lentisphaerae
meta_mOTU_v2_7780	Bacteria	Lentisphaerae	unknown Lentisphaerae	unknown Lentisphaerae	unknown Lentisphaerae	unknown Lentisphaerae	Lentisphaerae bacterium ADurb.Bin242
meta_mOTU_v2_6522	Bacteria	Lentisphaerae	unknown Lentisphaerae	unknown Lentisphaerae	unknown Lentisphaerae	unknown Lentisphaerae	Lentisphaerae bacterium ADurb.Bin242
meta_mOTU_v2_7225	Bacteria	Lentisphaerae	unknown Lentisphaerae	unknown Lentisphaerae	unknown Lentisphaerae	unknown Lentisphaerae	unknown Lentisphaerae
ref_mOTU_v2_1210	Bacteria	Chlamydiae	Chlamydiia	Chlamydiales	Chlamydiaceae	Chlamydia	Chlamydia muridarum
ref_mOTU_v2_3274	Bacteria	Chlamydiae	Chlamydiia	Chlamydiales	Chlamydiaceae	Chlamydia	Chlamydia suis
ref_mOTU_v2_0091	Bacteria	Chlamydiae	Chlamydiia	Chlamydiales	Chlamydiaceae	Chlamydia	Chlamydia trachomatis
ref_mOTU_v2_0653	Bacteria	Chlamydiae	Chlamydiia	Chlamydiales	Chlamydiaceae	Chlamydia	Chlamydia pneumoniae
ref_mOTU_v2_0891	Bacteria	Chlamydiae	Chlamydiia	Chlamydiales	Chlamydiaceae	Chlamydia	Chlamydia pecorum
ref_mOTU_v2_0216	Bacteria	Chlamydiae	Chlamydiia	Chlamydiales	Chlamydiaceae	Chlamydia	Chlamydia psittaci
ref_mOTU_v2_0057	Bacteria	Chlamydiae	Chlamydiia	Chlamydiales	Chlamydiaceae	Chlamydia	Chlamydia abortus
ref_mOTU_v2_3794	Bacteria	Chlamydiae	Chlamydiia	Chlamydiales	Chlamydiaceae	Chlamydia	Chlamydia caviae
ref_mOTU_v2_3849	Bacteria	Chlamydiae	Chlamydiia	Chlamydiales	Chlamydiaceae	Chlamydia	Chlamydia felis
ref_mOTU_v2_2291	Bacteria	Chlamydiae	Chlamydiia	Chlamydiales	Chlamydiaceae	Chlamydia	Chlamydia gallinacea
ref_mOTU_v2_0879	Bacteria	Chlamydiae	Chlamydiia	Chlamydiales	Chlamydiaceae	Chlamydia	Chlamydia sp. [C avium/psittaci]
ref_mOTU_v2_0195	Bacteria	Chlamydiae	Chlamydiia	Chlamydiales	Chlamydiaceae	Chlamydia	Chlamydia psittaci
ref_mOTU_v2_3407	Bacteria	Chlamydiae	Chlamydiia	Chlamydiales	Criblamydiaceae	Criblamydia	Criblamydia sequanensis
ref_mOTU_v2_1277	Bacteria	Chlamydiae	Chlamydiia	Chlamydiales	Parachlamydiaceae	Parachlamydia	Parachlamydia acanthamoebae
ref_mOTU_v2_3429	Bacteria	Chlamydiae	Chlamydiia	Chlamydiales	Chlamydiaceae	Chlamydia	Chlamydia sp. 'Diamant'
ref_mOTU_v2_3848	Bacteria	Chlamydiae	Chlamydiia	Chlamydiales	Parachlamydiaceae	candidatus Protochlamydia	candidatus Protochlamydia amoebophila
ref_mOTU_v2_3430	Bacteria	Chlamydiae	Chlamydiia	Chlamydiales	Chlamydiaceae	candidatus Rubidus	candidatus Rubidus massiliensis
ref_mOTU_v2_4864	Bacteria	Chlamydiae	Chlamydiia	Chlamydiales	Waddliaceae	Waddlia	Waddlia chondrophila
ref_mOTU_v2_4022	Bacteria	Chlamydiae	Chlamydiia	Chlamydiales	Simkaniaceae	Simkania	Simkania negevensis
ref_mOTU_v2_3942	Bacteria	Lentisphaerae	Lentisphaeria	Lentisphaerales	Lentisphaeraceae	Lentisphaera	Lentisphaera araneosa
ref_mOTU_v2_0202	Bacteria	candidatus Hydrogenedentes	candidatus Hydrogenedentes class incertae sedis	candidatus Hydrogenedentes order incertae sedis	candidatus Hydrogenedentes fam. incertae sedis	candidatus Hydrogenedentes gen. incertae sedis	Hydrogenedentes bacterium JGI 0000077-O16
meta_mOTU_v2_6962	Bacteria	candidatus Saccharibacteria	unknown candidatus Saccharibacteria	unknown candidatus Saccharibacteria	unknown candidatus Saccharibacteria	unknown candidatus Saccharibacteria	candidatus Saccharibacteria oral taxon TM7x
meta_mOTU_v2_5818	Bacteria	candidatus Saccharibacteria	unknown candidatus Saccharibacteria	unknown candidatus Saccharibacteria	unknown candidatus Saccharibacteria	unknown candidatus Saccharibacteria	candidatus Saccharibacteria oral taxon TM7x
meta_mOTU_v2_6980	Bacteria	candidatus Saccharibacteria	unknown candidatus Saccharibacteria	unknown candidatus Saccharibacteria	unknown candidatus Saccharibacteria	unknown candidatus Saccharibacteria	candidatus Saccharibacteria oral taxon TM7x
meta_mOTU_v2_6046	Bacteria	candidatus Saccharibacteria	unknown candidatus Saccharibacteria	unknown candidatus Saccharibacteria	unknown candidatus Saccharibacteria	unknown candidatus Saccharibacteria	unknown candidatus Saccharibacteria
